142,საქართველოს საპატრიარქოს წმიდა ტბელ აბუსერისძის სახელობის სასწავლო
003,სტუ
152,სეუ
203,კენ ვოლკერის საერთაშორისო უნივერსიტეტი
186,საქართველოს ფიზიკური აღზრდისა და სპორტის სახელმწიფო სასწავლო უნივერსიტეტი
010,ილია
053,ბსსუ
088,სულხან-საბა
097,შოთა მესხიას ზუგდიდის სახელმწიფო სასწავლო უნივერსიტეტი
183,ნიუ ვიჟენ
014,სამცხე-ჯავახეთის სახელმწიფო უნივერსიტეტი
143,ჯიუ
012,სოხუმის სახელმწიფო უნივერსიტეტი
153,ჯიპა
002,კონსერვატორია
020,სდასუ
114,ბსუ
115,კსუ
122,კუ
172,აღმოსავლეთ ევროპის უნივერსიტეტი
181,ნიუუნი
004,საქართველოს შოთა რუსთაველის თეატრისა და კინოს სახელმწიფო უნივერსიტეტი
047,თბილისის ჰუმანიტარული სასწავლო უნივერსიტეტი
005,აგრუნი
121,საქართველოს უნივერსიტეტი
198,ალტერბრიჯი
009,აწსუ
199,ბრიტანული სასწავლო უნივერსიტეტი საქართველოში
202,ვებსტერ უნივერსიტეტის ინკ.-ის ფილიალი საქართველოში
204,თბილისის თავისუფალი აკადემია
052,დავით ტვილდიანის სამედიცინო უნივერსიტეტი
195,ბტუ
197,კიუ
019,ქუ
036,თბილისის თავისუფალი უნივერსიტეტი
145,საქართველოს საპატრიარქოს წმიდა ანდრია პირველწოდებულის სახელობის ქართული
154,საქართველოს საპატრიარქოს წმინდა თამარ მეფის სახელობის უნივერსიტეტი
006,თსსუ
033,გრუ
192,ბაუ ინთერნეიშენალ უნივერსითი ბათუმი
001,თსუ
120,გაუ
155,დავით აღმაშენებლის სახელობის საქართველოს ეროვნული თავდაცვის აკადემია
133,გორის სახელმწიფო უნივერსიტეტი
140,ბათუმის ნავიგაციის სასწავლო უნივერსიტეტი
071,იაკობ გოგებაშვილის სახელობის თელავის სახელმწიფო უნივერსიტეტი
085,ალტე
129,სასწავლო უნივერსიტეტი გეომედი
131,საქართველოს საავიაციო უნივერსიტეტი
171,ევროპის უნივერსიტეტი
098,სამხატვრო აკადემია
130,ბათუმის ხელოვნების სასწავლო უნივერსიტეტი
040,პეტრე შოთაძის სახელობის თბილისის სამედიცინო აკადემია
064,იბსუ
